"jurisdiction","iso_alpha_2","iso_numeric","tax_codes","status_type","status_label","instrument_category","instrument_title","complementary_act","principal_official_url","secondary_official_urls","signed_not_in_force","signed_not_in_force_url"
"Ouzbékistan","UZ","860","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 22 avril 1996 (Journal officiel du 16 octobre 2003 et rectificatif du 13 février 2004)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/ouzbekistan/ouzbekistan_convention-avec-l-ouzbekistan_fd_2348.pdf","","",""
"Pakistan","PK","586","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 15 juin 1994 (Journal officiel du 18 octobre 1996)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/pakistan/version-consolidee-pakistan.pdf","","",""
"Panama","PA","591","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 30 juin 2011 (Journal officiel du 4 février 2012)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/panama/version_consolidee_convention_panama_france_modifiee_convention_multilaterale.pdf","","",""
"Pays-Bas","NL","528","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 16 mars 1973 (Journal officiel du 21 avril 1974)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/pays-bas/pays-bas_modifiee_cml_20190805.pdf","","",""
"Pays-Bas","NL","528","IR|IF","inforce","en vigueur","Impôt sur le revenu","Avenant du 7 avril 2004 (Journal officiel du 1er septembre 2005)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/pays-bas/pays-bas_modifiee_cml_20190805.pdf","","",""
"Philippines","PH","608","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 9 janvier 1976 (Journal officiel du 4 octobre 1978)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/philippines/philippines_convention-avec-les-philippines_fd_2099.pdf","","",""
"Philippines","PH","608","IR","inforce","en vigueur","Impôt sur le revenu","Avenant du 26 juin 1995 (Journal officiel du 26 juin 1998)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/philippines/philippines_convention-avec-les-philippines_fd_2099.pdf","","",""
"Philippines","PH","608","IR","inforce","en vigueur","Impôt sur le revenu","Avenant du 25 novembre 2011 (Journal officiel du 10 février 2013)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/philippines/philippines_convention-avec-les-philippines_fd_2099.pdf","","",""
"Pologne","PL","616","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 20 juin 1975 (Journal officiel du 1er décembre 1976)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/pologne/convention_avec_la_pologne_modifiee_par_la_cml.pdf","","",""
"Polynésie française","PF","258","IR","inforce","en vigueur","Revenus de capitaux mobiliers","Convention des 28 mars et 28 mai 1957 (Journal officiel du 15 août 1957)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/polynesie-francaise/polynesie-francaise_convention-avec-la-polynesie-francaise_fd_1994.pdf","","",""
"Polynésie française","PF","258","IR","inforce","en vigueur","Revenus de capitaux mobiliers","Accord particulier du 29 décembre 2009 (Journal officiel du 20 avril 2011)","true","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/polynesie-francaise/polynesie-francaise_convention-avec-la-polynesie-francaise_fd_1994.pdf","","",""
"Portugal","PT","620","IR|SP|DP","inforce","en vigueur","Impôt sur le revenu","Convention du 14 janvier 1971 (Journal officiel du 4 janvier 1973)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/portugal/nid-13642_convention_avec_le_portugal_modifiee_par_la_cml.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/portugal/portugal_accord-avec-le-portugal-successions_fd_1783.pdf","",""
"Portugal","PT","620","IR|SP|DP","inforce","en vigueur","Impôt sur le revenu","Avenant du 25 août 2016 (Journal officiel du 6 janvier 2018)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/portugal/nid-13642_convention_avec_le_portugal_modifiee_par_la_cml.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/portugal/portugal_accord-avec-le-portugal-successions_fd_1783.pdf","",""
"Portugal","PT","620","IR|SP|DP","inforce","en vigueur","Successions et donations — portée limitée","Accord particulier du 3 juin 1994 et EDL des 29 et 30 juin 1994 (Journal officiel du 2 mars 1995)","true","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/portugal/nid-13642_convention_avec_le_portugal_modifiee_par_la_cml.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/portugal/portugal_accord-avec-le-portugal-successions_fd_1783.pdf","",""
"Qatar","QA","634","IR|IF|S","inforce","en vigueur","Impôt sur le revenu","Convention des 4 décembre 1990 et EDL 12 janvier 1993 (Journal officiel du 22 décembre 1994)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/qatar/qatar_convention_modifiee_par_cml_2021-12-29.pdf","","",""
"Qatar","QA","634","IR|IF|S","inforce","en vigueur","Impôt sur le revenu","Avenant du 14 janvier 2008 (Journal officiel du 31 juillet 2009)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/qatar/qatar_convention_modifiee_par_cml_2021-12-29.pdf","","",""
"Québec","CA","124","IR|IF","inforce","en vigueur","Impôt sur le revenu","Entente fiscale du 1er septembre 1987 (Journal officiel du 29 octobre 1988)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/quebec/quebec_convention-avec-le-quebec_fd_2098.pdf","","",""
"Québec","CA","124","IR|IF","inforce","en vigueur","Impôt sur le revenu","Avenant du 3 septembre 2002 (Journal officiel du 1er septembre 2005)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/quebec/quebec_convention-avec-le-quebec_fd_2098.pdf","","",""
"République centrafricaine","CF","140","IR|S|DE","inforce","en vigueur","Impôt sur le revenu","Convention des 13 décembre 1969 et EDL 13 et 16 décembre 1969 (Journal officiel du 25 mai 1971)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/centrafrique/centrafricaine-republique_convention-avec-la-republique-centrafricaine_fd_1813.pdf","","",""
"République tchèque","CZ","203","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 28 avril 2003 (Journal officiel du 3 août 2005)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/republique_tcheque/version_consolidee_de_la_convention_avec_la_republique_tcheque_modifiee_par_la_convention_multilaterale.pdf","","",""
